generation,best,mean,std,duration_s
0,4.401072005390822,3.36828795912889,0.716623584506973,0.166
1,4.401072005390822,3.8192345867235886,0.42955178228223256,0.1702
2,4.503431118474704,4.147441047775387,0.30720051522727826,0.1677
3,4.611426377064251,4.348792186869503,0.3679233684387682,0.1698
4,4.611426377064251,4.405592786017803,0.26916210537610635,0.1718
5,4.611426377064251,4.334225393693826,0.2992912575767132,0.1704
6,4.611426377064251,4.253640644638792,0.30097245047011134,0.165
7,4.611426377064251,4.330234947593747,0.4316697976539148,0.1689
8,4.611426377064251,4.429825525111356,0.25216704287861463,0.1719
9,4.611426377064251,4.414053987786836,0.1779142409477879,0.1703
0,48369.92719829123,29059.121567153565,12698.896969224397,0.1775
1,48577.28986268457,41737.210765155985,9150.717531645509,0.1712
2,51095.77784682719,45769.66620715456,6848.920713352812,0.1689
3,51095.77784682719,50026.454356199065,1184.5487552268078,0.1704
4,51095.77784682719,50783.56973395089,403.1739385049069,0.1733
5,51095.952523174565,50460.93709304862,1269.225922992351,0.1701
6,51095.952523174565,49263.33570330923,2449.67564793356,0.1706
7,51141.490416605135,50530.42056160366,719.5152572441788,0.1704
8,51141.57347578951,51113.443791027574,22.94398879355989,0.1719
9,51141.57347578951,49314.51206439252,3650.5426790297574,0.1708
